sample_id,label,max_abs,final_abs,mean_abs,std_response,zero_crossings
near_critical-045,near_critical,1.0,1.1666787856886038e-13,0.06715260388723998,0.19862767257318603,1
near_critical-046,near_critical,1.0,3.059641585407635e-14,0.06728050049379679,0.19870460007683902,1
near_critical-047,near_critical,1.0,7.61279038453853e-13,0.06765493052206373,0.19893012443578492,0
near_critical-048,near_critical,1.0,3.2510328151189574e-13,0.06749304157140275,0.19883256052886372,0
near_critical-049,near_critical,1.0,1.5914894079989064e-13,0.06666678010875382,0.19833597608310108,1
near_critical-050,near_critical,1.0,5.110180701143676e-12,0.06826006570973565,0.19929553133740346,0
near_critical-051,near_critical,1.0,7.009160947009395e-12,0.06839840797812433,0.19937921944808448,0
near_critical-052,near_critical,1.0,3.3874132178845344e-13,0.06690168190886393,0.19847691106464813,1
near_critical-053,near_critical,1.0,1.010936904429715e-12,0.06772099166162207,0.19896996073189208,0
near_critical-054,near_critical,1.0,2.291606928666344e-13,0.06683896804761989,0.19843926518868502,1
near_critical-055,near_critical,1.0,2.2949131373596735e-12,0.06795503878335407,0.19911120506875937,0
near_critical-056,near_critical,1.0,9.509756636597437e-14,0.06718083536429896,0.19864464852306352,1
near_critical-057,near_critical,1.0,2.1286509805696704e-12,0.06792965985788936,0.19909588113775234,0
near_critical-058,near_critical,1.0,3.1128654413946955e-12,0.0680634542642604,0.19917668865066904,0
near_critical-059,near_critical,1.0,3.86292359863136e-12,0.0681459281247854,0.19922652665127,0
near_critical-060,near_critical,1.0,2.300997751975226e-13,0.06683731513925598,0.19843827316953416,1
near_critical-061,near_critical,1.0,7.634142100531008e-12,0.06843771365727476,0.199403006646126,0
near_critical-062,near_critical,1.0,1.6649997203386614e-13,0.06707981475457452,0.1985839161380701,1
near_critical-063,near_critical,1.0,1.7560341736515926e-13,0.06669806470307481,0.19835473470404888,1
near_critical-064,near_critical,1.0,1.0176720461630585e-12,0.06772260800961781,0.19897093559637097,0
near_critical-065,near_critical,1.0,6.203666023956368e-14,0.06735842110132217,0.1987514948849785,0
near_critical-066,near_critical,1.0,5.194500725111078e-12,0.06826699148886231,0.19929971969410532,0
near_critical-067,near_critical,1.0,4.691617737368584e-12,0.06822434511097233,0.19927393152999465,0
near_critical-068,near_critical,1.0,5.4930906663404285e-14,0.0672519284834444,0.19868740972932405,1
near_critical-069,near_critical,1.0,8.869395711148392e-12,0.06851075203564683,0.19944721972066098,0
near_critical-070,near_critical,1.0,8.744724284469012e-14,0.06720001006232605,0.198656180064244,1
near_critical-071,near_critical,1.0,7.23791234547464e-13,0.06764381212413284,0.1989234211537493,0
near_critical-072,near_critical,1.0,1.3964786950444458e-13,0.0671308026467493,0.1986145650723215,1
near_critical-073,near_critical,1.0,8.287363999105128e-12,0.06847737703166677,0.19942701466095314,0
